,Name,Currency,Price
0,Mount Kenya Poster -Chogoria Route Art -Mount Kenya Art -Lake Michaelson Art- Mount Kenya Print -Lake Michaelson Print -Mount Kenya Wall Art,Ksh,2142.4
1,Kenyan Map-Shaped Wooden Jewelry Tray,Ksh,11700.0
2,"Kericho Gold Kenyan Tea (Black Tea, 100 Enveloped Tea Bags, 3.53oz)",Ksh,1818.7
3,"Pallasite Meteorite slice, 831g Kenyan meteorite slice, from Kenya Sericho,meteorite gifts,  D6186",Ksh,324090.0
4,"Kenya Cookbook - Uncover the Rich and Diverse Flavors of Kenyan, Kenya Recipes, Kenyan Recipes, Kenyan Cookbook",Ksh,452.4
5,Swahili Wall Art Set of 4 Definition Prints Karibu Welcome Sign Digital Tanzania Poster Motivating Quotes Inspiring African Printable Art,Ksh,1192.1
6,"Kenya OS PNG, exclusive design Kenya OS in png, dtf, Kenini, Bobo png,",Ksh,373.1
7,"Kenya Heart Sweatshirt, Kenya Hoodie, Kenya Shirt, Kenya Gift, Kenyan Flag Pullover, Kenya Souvenir, Travel Sweater",Ksh,4160.0
8,Mzungu Definition Men's Short Sleeve T-Shirt | Bantu Swahili English Kiswahili Africa Kenya Tanzania Uganda Rwanda Malawi Zimbabwe Burundi.,Ksh,3417.7
10,Kenyan Rugby Jersey (Unisex),Ksh,3250.0
11,"Kenya Beaded Bracelets, Kenya Flag Bracelet, Elegant Bracelet, Wrist Bracelet, Gift For Him or Her",Ksh,1428.7
12,Masai Mara Travel Print Wall Art Masai Mara Wall Hanging Home Décor Masai Mara Gift Art Lovers Kenya Art Lover Gift Kenya Travel Print,Ksh,1913.6000000000001
13,Africa Shape Serving and Cutting Board,Ksh,8078.2
14,"Wooden Giraffe sculptures,Giraffe sculptures, Home decoration sculptures, FREE HOME DELIVERY",Ksh,11700.0
15,Giraffe candles - Fair trade animal candles - Swazi candles - Ethical home decor,Ksh,1162.2
16,Kenya Flag Bracelet • Custom Bracelets • Personalized Birthday Gift • AfroCrafted,Ksh,1409.2
17,Kenya Kenyan Flag Name Design 2 | svg png dxf eps pdf | Layered by color vector graphic design cut print dye sub laser digital files,Ksh,150.79999999999998
18,"Kenya Travel Sticker // East Africa Decal for suitcase, laptop, car or water bottle, luggage tag, travel gift",Ksh,518.7
19,"Kenya mug, Kenyan-inspired Mug, Kenyan design, Travel, Desk Mug, Perfect Gift, Custom mug, Unique Design Accent Coffee Mug, 11oz",Ksh,2418.0
20,2018 Kenya 20 Shillings Elephant Cut Coin Pendant with necklace Kenyan Elephants Nairobi East African,Ksh,4387.5
21,"Swahili Welcome Sign, Karibu, Kenyan Wall Art",Ksh,1054.3
22,"Kenya Prints, Kenya Black and White Prints Set of 6, Kenya Wall Art, Kenya Photo Gallery, Kenya Map, Kenya Posters, Africa, Nairobi",Ksh,6029.400000000001
23,"Kenya OS PNG, exclusive design Kenya OS in png, Kenini, Bobo png, dtf",Ksh,373.1
24,"Nairobi, Kenya Panoramic Canvas Print, Nairobi, Kenya Painting, Kenya Art, Nairobi Travel Poster, Travel Art, Guest Room Painting",Ksh,8968.699999999999
