Name,Price,Old Price,Discount,Rating,Items Left
4 Speeds Mini Electric Muscle Massage Gun For Pain Relief,KSh 622,"KSh 1,000",38%,4.2 out of 5,
Portable Mini Bluetooth Pocket Thermal Printer,"KSh 2,318","KSh 3,520",34%,4.5 out of 5,
Women Elegant Fashion High Appearance Level Zircon Quartz Watch,"KSh 1,785","KSh 2,200",19%,4 out of 5,
Plug And Play High Performance Power Upgrade OBD Box Green,KSh 161,KSh 206,22%,3.5 out of 5,
Black License Plate Frame Camera Vehicle Back View HD,"KSh 1,035","KSh 1,400",26%,3.5 out of 5,
G101 Keyboard + Triangle Throne +S1 Set Of Mobile Game Peripherals,"KSh 2,362","KSh 3,200",26%,,
10 Pcs Carbide Rotary File - Engraving Knife Grinding Set,KSh 902,"KSh 1,658",46%,1 out of 5,
Red Plug And Play High Performance Power Upgrade OBD Box,KSh 161,KSh 316,49%,,
Yellow Plug And Play High Performance Power Upgrade OBD Box,KSh 161,KSh 316,49%,,
Plug And Play High Performance Power Upgrade OBD Box Blue,KSh 204,KSh 399,49%,5 out of 5,
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),"KSh 1,329","KSh 1,870",29%,4 out of 5,
128GB Metal Usb Flash Drive  3D Embossment,KSh 645,"KSh 1,044",38%,3.5 out of 5,
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 433,KSh 754,43%,3.9 out of 5,
128 GB Metal  Usb Flash Drive  Adapter Cable  2 In 1 Set,KSh 664,KSh 910,27%,3.7 out of 5,
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 19,176","KSh 26,322",27%,4 out of 5,
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 465,KSh 920,49%,3.6 out of 5,
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 395,KSh 739,47%,3.7 out of 5,
LED 2.4G Rechargeable Wireless Mouse,KSh 375,KSh 731,49%,4.4 out of 5,
Stereo F9 Bluetooth Earphone  Power Headset,KSh 457,KSh 932,51%,3.8 out of 5,
Fashion 16 Inch Laptop Backpack Bags With USB Waterproof,KSh 676,"KSh 1,490",55%,3.4 out of 5,
