Date,Product,Market Area,Wholesale Price,Retail Price,Quantity Supplied,County Area
2021-10-01,Dry Maize,Ngurubani Market,25.0,31.0,3700.0,Kirinyaga
2021-10-01,Dry Maize,Nakuru Wakulima,40.0,45.0,900.0,Nakuru
2021-10-01,Dry Maize,Nakuru Wakulima,28.89,35.0,9000.0,Nakuru
2021-10-01,Dry Maize,Nakuru Wakulima,136.0,150.0,750.0,Nakuru
2021-10-01,Dry Maize,Gakoromone,33.33,40.0,5000.0,Meru
2021-10-01,White Irish Potatoes,Ngurubani Market,10.0,13.89,20000.0,Kirinyaga
2021-10-01,White Irish Potatoes,Naivasha Market,40.0,50.0,7100.0,Nakuru
2021-10-01,White Irish Potatoes,Nakuru Wakulima,26.0,30.0,4350.0,Nakuru
2021-10-01,White Irish Potatoes,Mairo-inya,20.0,30.0,3000.0,Nyandarua
2021-10-01,Dry Onions,Ngurubani Market,40.0,50.0,4500.0,Kirinyaga
2021-10-01,Dry Onions,Naivasha Market,60.0,70.0,4680.0,Nakuru
2021-10-01,Dry Onions,Gakoromone,50.0,70.0,2500.0,Meru
2021-10-01,Dry Onions,Nakuru Wakulima,60.0,70.0,3000.0,Nakuru
2021-10-01,Dry Onions,Mairo-inya,40.0,60.0,800.0,Nyandarua
2021-10-01,Water Melon,Ngurubani Market,20.0,30.0,10000.0,Kirinyaga
2021-10-01,Water Melon,Naivasha Market,35.0,50.0,7000.0,Nakuru
2021-10-01,Water Melon,Gakoromone,40.0,60.0,4000.0,Meru
2021-10-01,Water Melon,Mairo-inya,30.0,40.0,5000.0,Nyandarua
2021-10-01,Banana (Ripening),Naivasha Market,30.0,40.0,15880.0,Nakuru
2021-10-01,Banana (Ripening),Mairo-inya,40.0,60.0,2000.0,Nyandarua
2021-10-01,Oranges,Naivasha Market,50.0,70.0,7000.0,Nakuru
2021-10-01,Oranges,Gakoromone,150.0,180.0,2000.0,Meru
2021-10-01,Oranges,Mairo-inya,40.0,60.0,40.0,Nyandarua
2021-10-01,Mangoes,Naivasha Market,30.0,40.0,7000.0,Nakuru
2021-10-01,Kales/Sukuma Wiki,Ngurubani Market,10.0,20.0,550.0,Kirinyaga
2021-10-01,Kales/Sukuma Wiki,Naivasha Market,30.0,50.0,3000.0,Nakuru
2021-10-01,Kales/Sukuma Wiki,Gakoromone,40.0,80.0,2000.0,Meru
2021-10-01,Kales/Sukuma Wiki,Mairo-inya,10.0,20.0,30.0,Nyandarua
