Date,Product,Market Area,Wholesale Price,Retail Price,Quantity Supplied,County Area
10/1/2021,Dry Maize,Ngurubani Market,25,31,3700,Kirinyaga
10/1/2021,Dry Maize,Nakuru Wakulima,40,45,900,Nakuru
10/1/2021,Dry Maize,Nakuru Wakulima,28.89,35,9000,Nakuru
10/1/2021,Dry Maize,Nakuru Wakulima,136,150,750,Nakuru
10/1/2021,Dry Maize,Gakoromone,33.33,40,5000,Meru
10/1/2021,White Irish Potatoes,Ngurubani Market,10,13.89,20000,Kirinyaga
10/1/2021,White Irish Potatoes,Naivasha Market,40,50,7100,Nakuru
10/1/2021,White Irish Potatoes,Nakuru Wakulima,26,30,4350,Nakuru
10/1/2021,White Irish Potatoes,Mairo-inya,20,30,3000,Nyandarua
10/1/2021,Dry Onions,Ngurubani Market,40,50,4500,Kirinyaga
10/1/2021,Dry Onions,Naivasha Market,60,70,4680,Nakuru
10/1/2021,Dry Onions,Gakoromone,50,70,2500,Meru
10/1/2021,Dry Onions,Nakuru Wakulima,60,70,3000,Nakuru
10/1/2021,Dry Onions,Mairo-inya,40,60,800,Nyandarua
10/1/2021,Water Melon,Ngurubani Market,20,30,10000,Kirinyaga
10/1/2021,Water Melon,Naivasha Market,35,50,7000,Nakuru
10/1/2021,Water Melon,Gakoromone,40,60,4000,Meru
10/1/2021,Water Melon,Mairo-inya,30,40,5000,Nyandarua
10/1/2021,Banana (Ripening),Naivasha Market,30,40,15880,Nakuru
10/1/2021,Banana (Ripening),Mairo-inya,40,60,2000,Nyandarua
10/1/2021,Oranges,Naivasha Market,50,70,7000,Nakuru
10/1/2021,Oranges,Gakoromone,150,180,2000,Meru
10/1/2021,Oranges,Mairo-inya,40,60,40,Nyandarua
10/1/2021,Mangoes,Naivasha Market,30,40,7000,Nakuru
10/1/2021,Kales/Sukuma Wiki,Ngurubani Market,10,20,550,Kirinyaga
10/1/2021,Kales/Sukuma Wiki,Naivasha Market,30,50,3000,Nakuru
10/1/2021,Kales/Sukuma Wiki,Gakoromone,40,80,2000,Meru
10/1/2021,Kales/Sukuma Wiki,Mairo-inya,10,20,30,Nyandarua
10/1/2021,Spinach,Ngurubani Market,20,30,500,Kirinyaga
10/1/2021,Spinach,Naivasha Market,30,35,700,Nakuru
10/1/2021,Banana (Cooking),Ngurubani Market,15,25,3000,Kirinyaga
10/1/2021,Banana (Cooking),Naivasha Market,20,40,7250,Nakuru
10/1/2021,Banana (Cooking),Gakoromone,40,60,6000,Meru
10/3/2021,Dry Maize,Kasuku,27,40,90,Nyandarua
10/3/2021,Dry Onions,Kasuku,78.13,70,2500,Nyandarua
10/3/2021,Dry Onions,Kasuku,32.26,70,2500,Nyandarua
10/3/2021,Banana (Ripening),Kasuku,25,40,3000,Nyandarua
10/3/2021,Oranges,Kasuku,60,80,300,Nyandarua
10/3/2021,Kales/Sukuma Wiki,Kasuku,10,20,250,Nyandarua
10/3/2021,Spinach,Kasuku,15,25,200,Nyandarua
10/3/2021,Banana (Cooking),Kasuku,30,50,900,Nyandarua
10/4/2021,Dry Maize,Nakuru Top Market,31.11,35,90,Nakuru
10/4/2021,Dry Maize,Nakuru Wakulima,40,45,450,Nakuru
10/4/2021,Dry Maize,Nakuru Wakulima,28.89,35,0,Nakuru
10/4/2021,Dry Maize,Nakuru Wakulima,136,150,0,Nakuru
10/4/2021,Dry Maize,Kutus,30,36.59,5400,Kirinyaga
10/4/2021,White Irish Potatoes,Nakuru Top Market,32,50,500,Nakuru
10/4/2021,White Irish Potatoes,Nakuru Wakulima,26,30,4000,Nakuru
10/4/2021,White Irish Potatoes,Kagio,15,20,48000,Kirinyaga
10/4/2021,Dry Onions,Kutus,60,70,50,Kirinyaga
10/4/2021,Dry Onions,Kagio,50,60,30000,Kirinyaga
10/4/2021,Water Melon,Nakuru Top Market,100,150,200,Nakuru
10/4/2021,Water Melon,Kutus,30,40.55,5800,Kirinyaga
10/4/2021,Water Melon,Kagio,28,40,60000,Kirinyaga
10/4/2021,Banana (Ripening),Nakuru Top Market,25,60,200,Nakuru
10/4/2021,Banana (Ripening),Kagio,16.67,23,37500,Kirinyaga
10/4/2021,Oranges,Nakuru Top Market,60,100,100,Nakuru
10/4/2021,Oranges,Kagio,70,80,1710,Kirinyaga
10/4/2021,Oranges,Kutus,50,70,540,Kirinyaga
10/4/2021,Mangoes,Nakuru Top Market,1,200,100,Nakuru
10/4/2021,Kales/Sukuma Wiki,Kutus,5,10,750,Kirinyaga
